"","Sample_ID","Site","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"1","TMP_C_B4_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002901,0.207115166313264,"bdl","",0.028899,2.06322688427681,"Within_Range","",0.004516,0.145800823290371,"Within_Range","","05/08/2026","",NA
"2","TMP_C_C3_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001754,0.125225784802987,"bdl","",0.051426,3.67152862558633,"Within_Range","",0.018202,0.587658677044138,"Within_Range","","05/08/2026","",NA
"3","TMP_C_D5_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012405,0.885647582942449,"bdl","",0.037136,2.65130259090293,"Within_Range","",0.007024,0.226772582549062,"Within_Range","","05/08/2026","",NA
"4","TMP_C_F6_20250711","Tempest","C","F6","15",NA,NA,"PW",7.5,"20250711",20250708,0.007791,0.556233802394568,"bdl","",0.065259,4.65912741759301,"Within_Range","",0.029424,0.949965328719191,"Within_Range","","05/04/2026","",NA
"5","TMP_C_H3_20250711","Tempest","C","H3","15",NA,NA,"PW",14,"20250711",20250708,0.002212,0.157924421883813,"bdl","",0.077177,5.51000592573554,"Within_Range","",0.013632,0.44011444266925,"Within_Range","","05/04/2026","",NA
"6","TMP_C_H3_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024258,1.73188545481805,"bdl","",0.255198,18.2197091391977,"Within_Range","",0.019172,0.618975505784541,"Within_Range","","05/08/2026","",NA
"7","TMP_C_H6_20250711","Tempest","C","H6","15",NA,NA,"PW",14,"20250711",20250708,0.013027,0.930054902296758,"bdl","",0.021071,1.5043514889303,"Within_Range","",0.003443,0.111158599333203,"Within_Range","","05/04/2026","",NA
"8","TMP_C_H6_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061753,4.40881863679525,"Within_Range","",0.066676,4.76029328821207,"Within_Range","",0.006656,0.214891558861981,"Within_Range","","05/08/2026","",NA
"9","TMP_C_H6_20260602","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004369,0.311922151541762,"bdl","",0.772286,55.1368987698744,"Within_Range","",0.230428,7.43945795153976,"Within_Range","","05/08/2026","",NA
"10","TMP_C_I5_20250711","Tempest","C","I5","15",NA,NA,"PW",14,"20250711",20250708,0.00693,0.49476322045878,"bdl","",0.021552,1.53869219730558,"Within_Range","",0.01151,0.371604844125812,"Within_Range","","05/04/2026","",NA
"11","TMP_C_I5_20251101","Tempest","C","I5","15",NA,NA,"PW",8,"20251101",20251029,0.015572,1.11175366074807,"bdl","",0.228928,16.3441781433171,"Within_Range","",0.004576,0.147737946717612,"Within_Range","","05/04/2026","",NA
"12","TMP_C_I5_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl","",0.026833,1.91572604539256,"Within_Range","",0.005489,0.177214508202136,"Within_Range","","05/08/2026","",NA
"13","TMP_FW_B4_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1e-05,0.0057829467326351,"bdl","",0.048128,3.43606988084274,"Within_Range","",0.003271,0.105605512175111,"Within_Range","","05/08/2026","",NA
"14","TMP_FW_C3_20250711","Tempest","FW","C3","15",NA,NA,"PW",6,"20250711",20250708,0.044658,3.18833129859282,"Within_Range","",0.139686,9.97279873203538,"Within_Range","",0.013659,0.440986148211509,"Within_Range","","05/04/2026","",NA
"15","TMP_FW_C6_20250711","Tempest","FW","C6","15",NA,NA,"PW",14,"20250711",20250708,0.078572,5.60960111946426,"bdl","",0.044586,3.18319090149714,"Within_Range","",0.034186,1.10370835806125,"Within_Range","","05/04/2026","",NA
"16","TMP_FW_C6_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00304,0.217038988484083,"bdl","",0.073603,5.25484232545853,"Within_Range","",0.005506,0.177763359839854,"Within_Range","","05/08/2026","",NA
"17","TMP_FW_D5_20250711","Tempest","FW","D5","15",NA,NA,"PW",14,"20250711",20250708,0.125086,8.93044043207894,"Within_Range","",0.123277,8.80128795505008,"Within_Range","",0.047946,1.54795533070862,"Within_Range","","05/04/2026","",NA
"18","TMP_FW_D5_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl","",0.042058,3.00270584791564,"Within_Range","",0.002828,0.0913030842039788,"bdl","","05/08/2026","",NA
"19","TMP_FW_D5_20260410","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011774,0.84059771395118,"bdl","",0.052536,3.75077641414466,"Within_Range","",0.005054,0.163170363354635,"Within_Range","","05/08/2026","",NA
"20","TMP_FW_E3_20250602","Tempest","FW","E3","15",NA,NA,"PW",8,"20250602",20250530,0.010956,0.782197091391977,"bdl","",0.025939,1.85189944812126,"Within_Range","",0.001942,0.0626982282617139,"bdl","","05/04/2026","",NA
"21","TMP_FW_F4_20250602","Tempest","FW","F4","15",NA,NA,"PW",8,"20250602",20250530,0.026174,1.86867713308631,"Within_Range","",0.03276,2.33888067853242,"Within_Range","",0.003107,0.100310708140651,"Within_Range","","05/04/2026","",NA
"22","TMP_FW_F4_20250711","Tempest","FW","F4","15",NA,NA,"PW",8,"20250711",20250708,0.009491,0.677604289375799,"bdl","",0.031486,2.2479242077006,"Within_Range","",0.004147,0.133887514212836,"Within_Range","","05/04/2026","",NA
"23","TMP_FW_F4_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007326,0.523035404484996,"bdl","",0.039024,2.7860952258562,"Within_Range","",0.00308,0.0994390025983928,"Within_Range","","05/08/2026","",NA
"24","TMP_FW_F6_20250602","Tempest","FW","F6","15",NA,NA,"PW",14,"20250602",20250530,0.003711,0.264944633639615,"bdl","",0.011534,0.823463056965595,"bdl","",0.004639,0.149771926316216,"Within_Range","","05/04/2026","",NA
"25","TMP_FW_F6_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl","",0.037853,2.70249237864736,"Within_Range","",0.008072,0.260607671744879,"Within_Range","","05/08/2026","",NA
"26","TMP_FW_H3_20250602","Tempest","FW","H3","15",NA,NA,"PW",8,"20250602",20250530,0.006463,0.461422033740995,"bdl","",0.116011,8.28253621481148,"Within_Range","",0.034095,1.10077038752994,"Within_Range","","05/04/2026","",NA
"27","TMP_FW_H3_20260309","Tempest",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9e-05,0.00635410196548794,"bdl","",0.021341,1.52362797803908,"Within_Range","",0.002889,0.0932724930216743,"bdl","","05/08/2026","",NA
"28","TMP_FW_H6_20250602","Tempest","FW","H6","15",NA,NA,"PW",14,"20250602",20250530,0.00701,0.500474772787309,"bdl","",0.009639,0.688170661183576,"bdl","",0.000813,0.0262480224391212,"bdl","","05/04/2026","",NA
"29","TMP_FW_I5_20250602","Tempest","FW","I5","15",NA,NA,"PW",15,"20250602",20250530,0.013422,0.958255691918867,"bdl","",0.023402,1.6707718449028,"Within_Range","",0.000283,0.00913676549848869,"bdl","","05/04/2026","",NA
"30","TMP_FW_I5_20250711","Tempest","FW","I5","15",NA,NA,"PW",14,"20250711",20250708,0.009235,0.659327321924507,"bdl","",0.093938,6.70664753296637,"Within_Range","",0.009675,0.312361152642679,"Within_Range","","05/04/2026","",NA
"31","TMP_FW_I5_20251101","Tempest","FW","I5","15",NA,NA,"PW",8,"20251101",20251029,0.016075,1.14766504601369,"bdl","",0.003196,0.228176515524713,"bdl","",0.004469,0.144283409939032,"Within_Range","","05/04/2026","",NA
"32","TMP_SW_B4_20250711","Tempest","SW","B4","15",NA,NA,"PW",14,"20250711",20250708,0.035935,2.56555791157089,"Within_Range","",0.150716,10.7602790093312,"Within_Range","",0.014887,0.48063260768905,"Within_Range","","05/04/2026","",NA
"33","TMP_SW_B4_20250929","Tempest","SW","B4","15",NA,NA,"PW",6,"20250929",20250926,0.015153,1.0818394054274,"bdl","",0.067433,4.81433885212077,"Within_Range","",0.024905,0.804067649257459,"Within_Range","","05/04/2026","",NA
