"Project","plot","grid","Depth_cm","Analyte","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL","Sample_ID","Site"
"COMPASS","FW","C6",15,"DOC",8.087,673.916666666667,"NPOC checks out of range",0.3714,26.5285714285714,"TN checks out of range","6/18/2024 7:34:38 PM",NA,NA,20240607,20240610,1434,1349,"EDT",10,"TMP_FW_C6_20240610_T0","TEMPEST"
"COMPASS","FW","I5",15,"DOC",12.82,1068.33333333333,"NPOC checks out of range",0.5957,42.55,"TN checks out of range","6/18/2024 8:00:35 PM",NA,NA,20240607,20240610,1503,1445,"EDT",10,"TMP_FW_I5_20240610_T0","TEMPEST"
"COMPASS","SW","B4",15,"DOC",19.21,1600.83333333333,"NPOC checks out of range",1.46,104.285714285714,"TN checks out of range","6/18/2024 8:26:42 PM",NA,NA,20240610,20240611,1305,1400,"EDT",10,"TMP_SW_B4_20240611_T1","TEMPEST"
"COMPASS","FW","C3",15,"DOC",5.329,444.083333333333,"NPOC checks out of range",0.2405,17.1785714285714,"TN checks out of range","6/18/2024 8:53:20 PM",NA,NA,20240610,20240611,1409,1417,"EDT",10,"TMP_FW_C3_20240611_T1","TEMPEST"
"COMPASS","FW","C6",15,"DOC",4.18,348.333333333333,"NPOC checks out of range",0.2676,19.1142857142857,"TN checks out of range","6/18/2024 9:17:23 PM",NA,NA,20240610,20240611,1349,1400,"EDT",10,"TMP_FW_C6_20240611_T1","TEMPEST"
"COMPASS","FW","D5",15,"DOC",5.84,486.666666666667,"NPOC checks out of range",0.00678,0.484285714285714,"TN checks out of range","6/18/2024 9:41:37 PM",NA,NA,20240610,20240611,1403,1330,"EDT",10,"TMP_FW_D5_20240611_T1","TEMPEST"
"COMPASS","FW","F4",15,"DOC",7.564,630.333333333333,"NPOC checks out of range",0.3032,21.6571428571429,"TN checks out of range","6/18/2024 10:04:50 PM",NA,NA,20240610,20240611,1419,1343,"EDT",10,"TMP_FW_F4_20240611_T1","TEMPEST"
"COMPASS","FW","I5",15,"DOC",7.35,612.5,"NPOC checks out of range",0.6129,43.7785714285714,"TN checks out of range","6/18/2024 10:30:11 PM",NA,NA,20240610,20240611,1445,1307,"EDT",10,"TMP_FW_I5_20240611_T1","TEMPEST"
"COMPASS","SW","C3",15,"DOC",5.273,439.416666666667,"NPOC checks out of range",0.2527,18.05,"TN checks out of range","6/19/2024 3:43:54 AM",NA,"clear",20240612,20240612,931,1540,"EDT",10,"TMP_SW_C3_20240612_T3","TEMPEST"
"COMPASS","SW","B4",15,"DOC",5.398,449.833333333333,"NPOC checks out of range",0.427,30.5,"TN checks out of range","6/19/2024 6:51:34 PM",NA,NA,20240613,20240614,1544,1506,"EDT",10,"TMP_SW_B4_20240614_T6","TEMPEST"
"COMPASS","SW","C3",15,"DOC",5.674,472.833333333333,"NPOC checks out of range",0.3358,23.9857142857143,"TN checks out of range","6/19/2024 7:15:22 PM",NA,NA,20240613,20240614,1557,1443,"EDT",10,"TMP_SW_C3_20240614_T6","TEMPEST"
"COMPASS","SW","D5",15,"DOC",3.971,330.916666666667,"NPOC checks out of range",0.2582,18.4428571428571,"TN checks out of range","6/19/2024 7:38:19 PM",NA,NA,20240613,20240614,1529,1453,"EDT",10,"TMP_SW_D5_20240614_T6","TEMPEST"
"COMPASS","SW","E3",15,"DOC",4.342,361.833333333333,"NPOC checks out of range",0.309,22.0714285714286,"TN checks out of range","6/19/2024 8:02:00 PM",NA,NA,20240613,20240614,1513,1438,"EDT",10,"TMP_SW_E3_20240614_T6","TEMPEST"
"COMPASS","SW","F6",15,"DOC",4.04,336.666666666667,"NPOC checks out of range",0.2032,14.5142857142857,"TN checks out of range","6/19/2024 9:10:41 PM",NA,NA,20240613,20240614,1519,1420,"EDT",10,"TMP_SW_F6_20240614_T6","TEMPEST"
"COMPASS","SW","H6",15,"DOC",4.46,371.666666666667,"NPOC checks out of range",0.2951,21.0785714285714,"TN checks out of range","6/19/2024 9:35:34 PM",NA,NA,20240613,20240614,1446,1415,"EDT",10,"TMP_SW_H6_20240614_T6","TEMPEST"
"COMPASS","FW","C3",15,"DOC",4.841,403.416666666667,"NPOC checks out of range",0.1826,13.0428571428571,"TN checks out of range","6/19/2024 9:57:40 PM",NA,NA,20240613,20240614,1624,1518,"EDT",10,"TMP_FW_C3_20240614_T6","TEMPEST"
"COMPASS","FW","C6",15,"DOC",4.284,357,"NPOC checks out of range",0.1261,9.00714285714286,"TN checks out of range","6/19/2024 10:19:46 PM",NA,NA,20240613,20240614,1537,1455,"EDT",10,"TMP_FW_C6_20240614_T6","TEMPEST"
"COMPASS","FW","D5",15,"DOC",6.521,543.416666666667,"NPOC checks out of range",0.3691,26.3642857142857,"TN checks out of range","6/19/2024 10:42:22 PM",NA,NA,20240613,20240614,1612,1424,"EDT",10,"TMP_FW_D5_20240614_T6","TEMPEST"
"COMPASS","FW","E3",15,"DOC",7.641,636.75,"NPOC checks out of range",0.2835,20.25,"TN checks out of range","6/19/2024 11:05:45 PM",NA,NA,20240613,20240614,1530,1529,"EDT",10,"TMP_FW_E3_20240614_T6","TEMPEST"
"COMPASS","FW","F4",15,"DOC",5.791,482.583333333333,"NPOC checks out of range",0.02767,1.97642857142857,"TN checks out of range","6/19/2024 11:29:17 PM",NA,NA,20240613,20240614,1506,1535,"EDT",10,"TMP_FW_F4_20240614_T6","TEMPEST"
"COMPASS","FW","H3",15,"DOC",4.228,352.333333333333,"NPOC checks out of range",0.1816,12.9714285714286,"TN checks out of range","6/19/2024 11:51:57 PM",NA,NA,20240613,20240614,1456,1546,"EDT",10,"TMP_FW_H3_20240614_T6","TEMPEST"
"COMPASS","FW","I5",15,"DOC",6.165,513.75,"NPOC checks out of range",0.3239,23.1357142857143,"TN checks out of range","6/20/2024 12:15:33 AM",NA,NA,20240613,20240614,1442,1342,"EDT",10,"TMP_FW_I5_20240614_T6","TEMPEST"
"COMPASS","SW","B4",15,"DOC",6.176,514.666666666667,"NPOC checks out of range",0.7919,56.5642857142857,"TN checks out of range","6/18/2024 10:56:18 PM",NA,NA,20240611,20240612,1400,920,"EDT",10,"TMP_SW_B4_20240612_T2","TEMPEST"
"COMPASS","SW","C3",15,"DOC",12.85,1070.83333333333,"NPOC checks out of range",0.5984,42.7428571428571,"TN checks out of range","6/18/2024 11:22:41 PM",NA,NA,20240611,20240612,1427,931,"EDT",10,"TMP_SW_C3_20240612_T2","TEMPEST"
"COMPASS","SW","F6",15,"DOC",5.898,491.5,"NPOC checks out of range",0.3155,22.5357142857143,"TN checks out of range","6/18/2024 11:45:49 PM",NA,NA,20240611,20240612,1337,842,"EDT",10,"TMP_SW_F6_20240612_T2","TEMPEST"
"COMPASS","FW","D5",15,"DOC",5.492,457.666666666667,"NPOC checks out of range",0.1895,13.5357142857143,"TN checks out of range","6/19/2024 12:10:36 AM",NA,NA,20240611,20240612,1330,843,"EDT",10,"TMP_FW_D5_20240612_T2","TEMPEST"
"COMPASS","FW","C3",15,"DOC",5.141,428.416666666667,"NPOC checks out of range",0.2161,15.4357142857143,"TN checks out of range","6/19/2024 12:35:25 AM",NA,NA,20240611,20240612,1417,802,"EDT",10,"TMP_FW_C3_20240612_T2","TEMPEST"
"COMPASS","FW","F4",15,"DOC",7.021,585.083333333333,"NPOC checks out of range",0.2535,18.1071428571429,"TN checks out of range","6/19/2024 12:58:48 AM",NA,NA,20240611,20240612,1343,947,"EDT",10,"TMP_FW_F4_20240612_T2","TEMPEST"
"COMPASS","FW","H3",15,"DOC",6.053,504.416666666667,"NPOC checks out of range",0.305,21.7857142857143,"TN checks out of range","6/19/2024 1:23:21 AM",NA,NA,20240611,20240612,1325,1005,"EDT",10,"TMP_FW_H3_20240612_T2","TEMPEST"
"COMPASS","FW","H6",15,"DOC",8.331,694.25,"NPOC checks out of range",0.4307,30.7642857142857,"TN checks out of range","6/19/2024 2:34:53 AM",NA,NA,20240611,20240612,1322,922,"EDT",10,"TMP_FW_H6_20240612_T2","TEMPEST"
"COMPASS","FW","I5",15,"DOC",6.318,526.5,"NPOC checks out of range",0.2869,20.4928571428571,"TN checks out of range","6/19/2024 2:57:13 AM",NA,NA,20240611,20240612,1307,931,"EDT",10,"TMP_FW_I5_20240612_T2","TEMPEST"
"COMPASS","SW","B4",15,"DOC",4.718,393.166666666667,"NPOC checks out of range",0.4682,33.4428571428571,"TN checks out of range","6/19/2024 3:20:32 AM",NA,"clear",20240612,20240612,920,1622,"EDT",10,"TMP_SW_B4_20240612_T3","TEMPEST"
"COMPASS","SW","C3",15,"DOC",6.382,531.833333333333,"NPOC checks out of range",0.3818,27.2714285714286,"TN checks out of range","6/19/2024 4:07:59 AM",NA,"clear",20240612,20240612,931,1540,"EDT",10,"TMP_SW_C3_20240612_T3","TEMPEST"
"COMPASS","SW","D5",15,"DOC",4.016,334.666666666667,"NPOC checks out of range",0.2851,20.3642857142857,"TN checks out of range","6/19/2024 4:31:20 AM",NA,"clear",20240612,20240612,905,1556,"EDT",10,"TMP_SW_D5_20240612_T3","TEMPEST"
"COMPASS","SW","F6",15,"DOC",3.802,316.833333333333,"NPOC checks out of range",0.2662,19.0142857142857,"TN checks out of range","6/19/2024 4:50:04 AM",NA,"clear",20240612,20240612,842,1607,"EDT",10,"TMP_SW_F6_20240612_T3","TEMPEST"
"COMPASS","SW","I5",15,"DOC",10.05,837.5,"NPOC checks out of range",0.6637,47.4071428571429,"TN checks out of range","6/19/2024 5:14:18 AM",NA,"clear",20240612,20240612,816,1506,"EDT",10,"TMP_SW_I5_20240612_T3","TEMPEST"
"COMPASS","FW","C3",15,"DOC",4.601,383.416666666667,"NPOC checks out of range",0.1868,13.3428571428571,"TN checks out of range","6/19/2024 5:38:17 AM",NA,NA,20240612,20240612,802,1618,"EDT",10,"TMP_FW_C3_20240612_T3","TEMPEST"
"COMPASS","FW","C6",15,"DOC",4.642,386.833333333333,"NPOC checks out of range",0.1199,8.56428571428571,"TN checks out of range","6/19/2024 6:01:45 AM",NA,NA,20240612,20240612,901,1603,"EDT",10,"TMP_FW_C6_20240612_T3","TEMPEST"
"COMPASS","FW","D5",15,"DOC",5.925,493.75,"NPOC checks out of range",0.2128,15.2,"TN checks out of range","6/19/2024 7:10:49 AM",NA,NA,20240612,20240612,843,1548,"EDT",10,"TMP_FW_D5_20240612_T3","TEMPEST"
"COMPASS","FW","F4",15,"DOC",6.914,576.166666666667,"NPOC checks out of range",0.2619,18.7071428571429,"TN checks out of range","6/19/2024 7:26:35 AM",NA,NA,20240612,20240612,947,1531,"EDT",10,"TMP_FW_F4_20240612_T3","TEMPEST"
"COMPASS","FW","H3",15,"DOC",4.875,406.25,"NPOC checks out of range",0.1782,12.7285714285714,"TN checks out of range","6/19/2024 7:52:10 AM",NA,NA,20240612,20240612,1005,1523,"EDT",10,"TMP_FW_H3_20240612_T3","TEMPEST"
"COMPASS","FW","I5",15,"DOC",4.855,404.583333333333,"NPOC checks out of range",0.231,16.5,"TN checks out of range","6/19/2024 8:15:35 AM",NA,NA,20240612,20240612,931,1500,"EDT",10,"TMP_FW_I5_20240612_T3","TEMPEST"
"COMPASS","SW","B4",15,"DOC",5.343,445.25,"NPOC checks out of range",0.3989,28.4928571428571,"TN checks out of range","6/19/2024 8:35:09 AM",NA,"clear",20240612,20240613,1622,937,"EDT",10,"TMP_SW_B4_20240613_T4","TEMPEST"
"COMPASS","SW","C3",15,"DOC",5.849,487.416666666667,"NPOC checks out of range",0.3003,21.45,"TN checks out of range","6/19/2024 8:59:21 AM",NA,"clear",20240612,20240613,1540,916,"EDT",10,"TMP_SW_C3_20240613_T4","TEMPEST"
"COMPASS","SW","D5",15,"DOC",3.878,323.166666666667,"NPOC checks out of range",0.2111,15.0785714285714,"TN checks out of range","6/19/2024 9:21:00 AM",NA,"clear",20240612,20240613,1556,900,"EDT",10,"TMP_SW_D5_20240613_T4","TEMPEST"
"COMPASS","SW","F6",15,"DOC",3.641,303.416666666667,"NPOC checks out of range",0.2152,15.3714285714286,"TN checks out of range","6/19/2024 9:44:06 AM",NA,"clear",20240612,20240613,1607,848,"EDT",10,"TMP_SW_F6_20240613_T4","TEMPEST"
"COMPASS","FW","C6",15,"DOC",4.613,384.416666666667,"NPOC checks out of range",0.09606,6.86142857142857,"TN checks out of range","6/19/2024 10:25:50 AM",NA,NA,20240612,20240613,1603,943,"EDT",10,"TMP_FW_C6_20240613_T4","TEMPEST"
"COMPASS","FW","D5",15,"DOC",6.602,550.166666666667,"NPOC checks out of range",0.3157,22.55,"TN checks out of range","6/19/2024 11:26:39 AM",NA,NA,20240612,20240613,1548,957,"EDT",10,"TMP_FW_D5_20240613_T4","TEMPEST"
"COMPASS","FW","F4",15,"DOC",6.7,558.333333333333,"NPOC checks out of range",0.2655,18.9642857142857,"TN checks out of range","6/19/2024 11:45:55 AM",NA,NA,20240612,20240613,1531,846,"EDT",10,"TMP_FW_F4_20240613_T4","TEMPEST"
"COMPASS","FW","E3",15,"DOC",7.743,645.25,"NPOC checks out of range",0.2734,19.5285714285714,"TN checks out of range","6/19/2024 12:10:04 PM",NA,NA,20240612,20240613,1542,902,"EDT",10,"TMP_FW_E3_20240613_T4","TEMPEST"
