"","Sample_ID","Site","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"1","TEMPEST_C_H3_20240426","TEMPEST","C","H3","15",NA,NA,"PW",8,"20240426",20240423,0.01447,1.03307702742259,"bdl","",0.019803,1.41382338452312,"bdl","",0.006043,0.195100614513665,"Within_Range","","01/20/2026","",NA
"2","TEMPEST_C_I5_20240426","TEMPEST","C","I5","15",NA,NA,"PW",8,"20240426",20240423,0.011863,0.846951815916668,"bdl","",0.0201,1.43502752254278,"Within_Range","",0.005691,0.183736157073848,"Within_Range","","01/20/2026","",NA
"3","TEMPEST_FW_C3_T2_20240612","TEMPEST","FW","C3","15","T2","AM","PW",8,"20240612",20240611,0.013947,0.995737754074836,"bdl","",0.009252,0.66054102679432,"bdl","",0.002943,0.0950159041061916,"bdl","","01/20/2026","",NA
"4","TEMPEST_FW_C3_T4_20240613","TEMPEST","FW","C3","15","T4","AM","PW",8,"20240613",20240612,0.033103,2.36336895914098,"Within_Range","",0.0143,1.02093997872447,"bdl","",0.015253,0.492449060595222,"Within_Range","","01/20/2026","",NA
"5","TEMPEST_FW_C3_T5_20240613","TEMPEST","FW","C3","15","T5","PM","PW",8,"20240613",20240613,0.073504,5.24777427945198,"Within_Range","",0.013199,0.942334739803094,"bdl","",0.003481,0.112385444170456,"Within_Range","","01/20/2026","",NA
"6","TEMPEST_FW_C6_20240426","TEMPEST","FW","C6","15",NA,NA,"PW",6,"20240426",20240423,0.0567,4.04806271284457,"Within_Range","",0.017752,1.26739346170047,"bdl","",0.020799,0.671503836053238,"Within_Range","","01/20/2026","",NA
"7","TEMPEST_FW_C6_T0_20240610","TEMPEST","FW","C6","15","T0",NA,"PW",6,"20240610",20240607,0.031675,2.26141775007675,"Within_Range","",0.035898,2.56291631861895,"Within_Range","",0.017438,0.562992638737264,"Within_Range","","01/20/2026","",NA
"8","TEMPEST_FW_C6_T1_20240611","TEMPEST","FW","C6","15","T1",NA,"PW",8,"20240611",20240610,0.02707,1.93264651916583,"Within_Range","",0.016823,1.20106806028543,"bdl","",0.012069,0.389652377389611,"Within_Range","","01/20/2026","",NA
"9","TEMPEST_FW_C6_T4_20240613","TEMPEST","FW","C6","15","T4","AM","PW",8,"20240613",20240612,0.008305,0.592930526105364,"bdl","",0.014405,1.02843639115566,"bdl","",0.008397,0.271100423642436,"Within_Range","","01/20/2026","",NA
"10","TEMPEST_FW_C6_T5_20240613","TEMPEST","FW","C6","15","T5","PM","PW",8,"20240613",20240613,0.022381,1.59787815830995,"bdl","",0.009534,0.680674248752383,"bdl","",0.012236,0.395044037595433,"Within_Range","","01/20/2026","",NA
