"","Sample_ID","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Deployment_Date","Deployment_Time_24hrs","Collection_Time_24hrs","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"1","TMP_C_H3_20240426_15cm","TEMPEST","C","H3",15,NA,NA,"PW",8,20240426,20240423,916,1443,NA,NA,NA,0.01447,1.03307702742259,"bdl",NA,0.019803,1.41382338452312,"bdl",NA,0.006043,0.195100614513665,"Within_Range",NA,"02/09/2026",NA,NA
"2","TMP_C_H3_20240607_15cm","TEMPEST","C","H3",15,NA,NA,"PW",8,20240607,20240604,1203,1102,NA,NA,NA,0.02487,1.77557883013129,"bdl",NA,0.433686,30.9627535393776,"Within_Range",NA,0.006615,0.213567857853366,"Within_Range",NA,"02/13/2026",NA,NA
"3","TMP_C_H6_20240607_15cm","TEMPEST","C","H6",15,NA,NA,"PW",7.5,20240607,20240604,930,1128,NA,NA,NA,0.010005,0.714301013086594,"bdl",NA,0.041502,2.96301055923237,"Within_Range",NA,0.00666,0.215020700423797,"Within_Range",NA,"02/13/2026",NA,NA
"4","TMP_C_I5_20240426_15cm","TEMPEST","C","I5",15,NA,NA,"PW",8,20240426,20240423,920,1436,NA,NA,NA,0.011863,0.846951815916668,"bdl",NA,0.0201,1.43502752254278,"Within_Range",NA,0.005691,0.183736157073848,"Within_Range",NA,"02/09/2026",NA,NA
"5","TMP_FW_C3_T1_20240611_15cm","TEMPEST","FW","C3",15,"T1",NA,"PW",8,20240611,20240610,1409,1417,NA,NA,NA,0.011523,0.822677718520422,"bdl",NA,0.00633,0.451926577994817,"bdl",NA,0.003544,0.11441942376906,"Within_Range",NA,"02/13/2026",NA,NA
"6","TMP_FW_C3_T2_20240612_15cm","TEMPEST","FW","C3",15,"T2","AM","PW",8,20240612,20240611,1417,802,NA,NA,NA,0.013947,0.995737754074836,"bdl",NA,0.009252,0.66054102679432,"bdl",NA,0.002943,0.0950159041061916,"bdl",NA,"02/09/2026",NA,NA
"7","TMP_FW_C3_T3_20240612_15cm","TEMPEST","FW","C3",15,"T3","PM","PW",8,20240612,20240612,802,1618,NA,NA,NA,0.006162,0.439932318104907,"bdl",NA,0.005095,0.363754488923158,"bdl",NA,0.003291,0.106251219984192,"Within_Range",NA,"02/13/2026",NA,NA
"8","TMP_FW_C3_T4_20240613_15cm","TEMPEST","FW","C3",15,"T4","AM","PW",8,20240613,20240612,1618,917,NA,NA,NA,0.033103,2.36336895914098,"Within_Range",NA,0.0143,1.02093997872447,"bdl",NA,0.015253,0.492449060595222,"Within_Range",NA,"02/09/2026",NA,NA
"9","TMP_FW_C3_T5_20240613_15cm","TEMPEST","FW","C3",15,"T5","PM","PW",8,20240613,20240613,917,1624,NA,NA,NA,0.073504,5.24777427945198,"Within_Range",NA,0.013199,0.942334739803094,"bdl",NA,0.003481,0.112385444170456,"Within_Range",NA,"02/09/2026",NA,NA
"10","TMP_FW_C3_T6_20240614_15cm","TEMPEST","FW","C3",15,"T6",NA,"PW",8,20240614,20240613,1624,1518,NA,NA,NA,0.014505,1.03557583156632,"bdl",NA,0.009194,0.656400151356137,"bdl",NA,0.006259,0.202074258851734,"Within_Range",NA,"02/13/2026",NA,NA
