Site,plot,grid,pH,collection_temp_C,datetime,tz,evacuation_date,flag
TEMPEST,Control,C3,5.78,6,2025-01-31T16:37:00Z,EST,2025-01-28,NA
TEMPEST,Control,F4,6.15,9.1,2025-01-31T16:23:00Z,EST,2025-01-28,NA
TEMPEST,Control,H3,6.57,12.5,2025-01-31T15:51:00Z,EST,2025-01-28,NA
TEMPEST,Control,H6,6.27,8.8,2025-01-31T16:13:00Z,EST,2025-01-28,NA
TEMPEST,Control,B4,5.68,8.7,2025-01-31T17:19:00Z,EST,2025-01-28,NA
TEMPEST,Control,D5,5.54,8.4,2025-01-31T17:27:00Z,EST,2025-01-28,NA
TEMPEST,Control,I5,6.34,12.1,2025-01-31T16:00:00Z,EST,2025-01-28,NA
TEMPEST,Saltwater,B4,6.64,NA,2025-01-31T17:52:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,F4,6.51,NA,2025-01-31T18:51:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,H6,6.72,NA,2025-01-31T19:00:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,C3,5.89,NA,2025-01-31T18:08:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,D5,5.99,NA,2025-01-31T18:45:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,F6,6.04,NA,2025-01-31T18:47:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,I5,5.64,NA,2025-01-31T18:59:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,C6,6.2,NA,2025-01-31T19:05:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,H3,5.9,NA,2025-01-31T19:20:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,D5,6.03,NA,2025-01-31T19:08:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,F6,6.42,NA,2025-01-31T19:33:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,I5,6.57,NA,2025-01-31T19:27:00Z,EST,2025-01-28,temperature not recorded
TEMPEST,Control,C3,5.4,12,2025-02-04T15:43:00Z,EST,2025-01-31,NA
TEMPEST,Control,C6,6.28,12.1,2025-02-04T16:07:00Z,EST,2025-01-31,NA
TEMPEST,Control,H3,5.92,12.4,2025-02-04T14:41:00Z,EST,2025-01-31,NA
TEMPEST,Control,H6,5.95,11.4,2025-02-04T15:06:00Z,EST,2025-01-31,NA
TEMPEST,Control,B4,5.15,11.7,2025-02-04T15:55:00Z,EST,2025-01-31,NA
TEMPEST,Control,D5,5.43,11.3,2025-02-04T16:15:00Z,EST,2025-01-31,NA
TEMPEST,Control,E3,5.79,12.2,2025-02-04T15:33:00Z,EST,2025-01-31,NA
TEMPEST,Control,I5,5.3,11.5,2025-02-04T14:53:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,B4,5.8,13.5,2025-02-04T17:10:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,C6,6.37,12.3,2025-02-04T17:30:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,F4,6.35,12.1,2025-02-04T17:58:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,H3,6.49,12.9,2025-02-04T18:17:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,H6,6.64,12.3,2025-02-04T18:33:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,C3,6.08,13,2025-02-04T17:20:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,D5,6.14,11.9,2025-02-04T17:39:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,E3,5.97,12.8,2025-02-04T18:06:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,F6,6.1,12.5,2025-02-04T17:48:00Z,EST,2025-01-31,NA
TEMPEST,Saltwater,I5,5.22,11.3,2025-02-04T18:25:00Z,EST,2025-01-31,NA
TEMPEST,Freshwater,C3,6.66,11.1,2025-02-04T19:27:00Z,EST,2025-01-31,NA
